Model-Pipeline,Training Accuracy,Testing Accuracy,Precision,Recall,F1-Score,Train-Test Difference
Logistic Regression + Pipeline A,0.8192194519199556,0.8165445026178011,0.8058678365780093,0.6647817235919475,0.7285572632622707,0.0026749493021545057
Logistic Regression + Pipeline B,0.8140150999507838,0.8110157068062828,0.8010289210233593,0.6515494232074192,0.7185979792940003,0.002999393144501039
Decision Tree + Pipeline A,0.9960836466066997,0.8595602094240837,0.8079901245651442,0.81429540827867,0.8111305131527066,0.13652343718261595
Decision Tree + Pipeline B,0.9960836466066997,0.8596858638743455,0.808054745344402,0.8146346980321194,0.8113313809416536,0.13639778273235414
